iter	Passed	Remaining
607	28952	18666
608	29001	18619
609	29056	18577
610	29115	18536
611	29158	18486
612	29202	18435
613	29254	18391
614	29297	18341
615	29336	18287
616	29377	18235
617	29420	18185
618	29465	18136
619	29512	18088
620	29556	18038
621	29601	17989
622	29639	17936
623	29679	17883
624	29725	17835
625	29773	17788
626	29815	17737
627	29862	17689
628	29900	17636
629	29943	17585
630	29994	17540
631	30039	17491
632	30104	17454
633	30155	17408
634	30199	17358
635	30277	17328
636	30353	17297
637	30405	17252
638	30473	17215
639	30520	17168
640	30579	17126
641	30627	17078
642	30666	17026
643	30708	16975
644	30749	16923
645	30803	16879
646	30844	16828
647	30885	16777
648	30930	16728
649	30971	16677
650	31017	16628
651	31060	16578
652	31119	16536
653	31167	16489
654	31223	16445
655	31285	16405
656	31329	16356
657	31372	16306
658	31427	16262
659	31467	16210
660	31508	16159
661	31547	16107
662	31588	16056
663	31629	16005
664	31665	15951
665	31711	15903
666	31750	15851
667	31790	15799
668	31829	15748
669	31872	15698
670	31923	15652
671	31970	15604
672	32017	15556
673	32058	15506
674	32107	15458
675	32157	15412
676	32208	15366
677	32263	15322
678	32311	15275
679	32358	15227
680	32427	15190
681	32471	15140
682	32518	15092
683	32565	15044
684	32610	14996
685	32670	14954
686	32715	14905
687	32755	14854
688	32796	14803
689	32845	14756
690	32894	14709
691	32939	14661
692	32981	14610
693	33040	14568
694	33081	14517
695	33117	14464
696	33163	14416
697	33200	14364
698	33242	14314
699	33294	14268
700	33339	14220
701	33377	14168
702	33418	14118
703	33465	14070
704	33517	14025
705	33572	13980
706	33619	13932
707	33668	13885
708	33728	13843
709	33777	13796
710	33820	13746
711	33861	13696
712	33908	13648
713	33947	13598
714	34001	13552
715	34044	13503
716	34085	13453
717	34125	13402
718	34164	13352
719	34204	13301
720	34245	13251
721	34293	13204
722	34342	13157
723	34404	13115
724	34458	13070
725	34502	13021
726	34549	12973
727	34596	12926
728	34639	12877
729	34690	12830
730	34737	12783
731	34777	12732
732	34820	12683
733	34867	12635
734	34914	12588
735	34956	12538
736	34998	12489
737	35036	12438
738	35082	12390
739	35133	12344
740	35177	12295
741	35228	12249
742	35275	12201
743	35322	12153
744	35371	12107
745	35418	12059
746	35459	12009
747	35502	11960
748	35544	11911
749	35583	11861
750	35621	11810
751	35672	11764
752	35710	11713
753	35751	11664
754	35787	11613
755	35824	11562
756	35865	11512
757	35899	11461
758	35938	11411
759	35978	11361
760	36043	11319
761	36086	11271
762	36131	11223
763	36183	11177
764	36228	11129
765	36264	11078
766	36309	11030
767	36357	10983
768	36403	10935
769	36455	10889
770	36498	10840
771	36540	10791
772	36576	10741
773	36627	10694
774	36663	10644
775	36705	10595
776	36745	10546
777	36785	10496
778	36828	10448
779	36870	10399
780	36910	10349
781	36947	10300
782	36988	10251
783	37030	10202
784	37067	10152
785	37108	10103
786	37163	10058
787	37213	10011
788	37259	9964
789	37300	9915
790	37341	9866
791	37385	9818
792	37431	9770
793	37469	9721
794	37523	9675
795	37559	9625
796	37596	9576
797	37636	9526
798	37692	9482
799	37741	9435
800	37782	9386
801	37822	9337
802	37863	9288
803	37918	9243
804	37952	9193
805	37994	9145
806	38034	9096
807	38073	9047
808	38122	9000
809	38164	8952
810	38199	8902
811	38240	8853
812	38281	8805
813	38341	8761
814	38405	8717
815	38458	8671
816	38520	8628
817	38564	8580
818	38617	8534
819	38664	8487
820	38712	8440
821	38764	8394
822	38807	8346
823	38849	8297
824	38889	8249
825	38934	8201
826	38979	8154
827	39028	8107
828	39070	8059
829	39119	8012
830	39161	7964
831	39208	7917
832	39255	7869
833	39311	7824
834	39358	7777
835	39398	7728
836	39439	7680
837	39482	7632
838	39521	7583
839	39561	7535
840	39616	7489
841	39654	7441
842	39697	7393
843	39733	7344
844	39774	7295
845	39811	7246
846	39853	7199
847	39889	7149
848	39933	7102
849	39980	7055
850	40022	7007
851	40071	6960
852	40128	6915
853	40171	6867
854	40219	6820
855	40274	6775
856	40325	6728
857	40388	6684
858	40431	6636
859	40490	6591
860	40534	6543
861	40580	6496
862	40625	6449
863	40684	6404
864	40727	6356
865	40773	6309
866	40815	6261
867	40864	6214
868	40914	6167
869	40966	6121
870	41018	6075
871	41060	6027
872	41109	5980
873	41144	5931
874	41185	5883
875	41221	5834
876	41257	5786
877	41301	5738
878	41339	5690
879	41382	5643
880	41421	5594
881	41457	5546
882	41501	5499
883	41540	5451
884	41575	5402
885	41615	5354
886	41658	5307
887	41695	5258
888	41740	5211
889	41783	5164
890	41831	5117
891	41870	5069
892	41909	5021
893	41950	4974
894	41993	4926
895	42040	4879
896	42094	4833
897	42152	4787
898	42198	4740
899	42245	4693
900	42288	4646
901	42335	4599
902	42377	4552
903	42422	4505
904	42480	4459
905	42530	4412
906	42573	4365
907	42618	4318
908	42663	4271
